schemaname,tablename,indexname,indexdef
public,house_listings,idx_house_listings_category,CREATE INDEX idx_house_listings_category ON public.house_listings USING btree (house_category)
public,house_listings,idx_house_listings_daily_rate,CREATE INDEX idx_house_listings_daily_rate ON public.house_listings USING btree (daily_rate)
public,house_listings,idx_house_listings_geo,CREATE INDEX idx_house_listings_geo ON public.house_listings USING gist (geo_point)
public,house_listings,idx_house_listings_landlord_id,CREATE INDEX idx_house_listings_landlord_id ON public.house_listings USING btree (landlord_id)
public,house_listings,idx_house_listings_lat_lng,"CREATE INDEX idx_house_listings_lat_lng ON public.house_listings USING btree (latitude, longitude) WHERE ((latitude IS NOT NULL) AND (longitude IS NOT NULL))"
public,house_listings,idx_house_listings_region,CREATE INDEX idx_house_listings_region ON public.house_listings USING btree (region)
public,house_listings,idx_house_listings_region_status,"CREATE INDEX idx_house_listings_region_status ON public.house_listings USING btree (region, status)"
public,house_listings,idx_house_listings_search,"CREATE INDEX idx_house_listings_search ON public.house_listings USING gin ((((((((region || ' '::text) || COALESCE(district, ''::text)) || ' '::text) || COALESCE(village, ''::text)) || ' '::text) || address)) gin_trgm_ops)"
public,house_listings,idx_house_listings_short_code,CREATE INDEX idx_house_listings_short_code ON public.house_listings USING btree (short_code)
public,house_listings,idx_house_listings_status,CREATE INDEX idx_house_listings_status ON public.house_listings USING btree (status)
public,house_listings,idx_house_listings_tenant_id,CREATE INDEX idx_house_listings_tenant_id ON public.house_listings USING btree (tenant_id) WHERE (tenant_id IS NOT NULL)
public,house_questions,house_questions_pkey,CREATE UNIQUE INDEX house_questions_pkey ON public.house_questions USING btree (id)
public,house_questions,idx_house_questions_house,CREATE INDEX idx_house_questions_house ON public.house_questions USING btree (house_id)
public,house_reviews,house_reviews_house_id_reviewer_id_key,"CREATE UNIQUE INDEX house_reviews_house_id_reviewer_id_key ON public.house_reviews USING btree (house_id, reviewer_id)"
public,house_reviews,house_reviews_pkey,CREATE UNIQUE INDEX house_reviews_pkey ON public.house_reviews USING btree (id)
public,house_reviews,idx_house_reviews_house_id,CREATE INDEX idx_house_reviews_house_id ON public.house_reviews USING btree (house_id)
public,house_reviews,idx_house_reviews_reviewer_id,CREATE INDEX idx_house_reviews_reviewer_id ON public.house_reviews USING btree (reviewer_id)
public,internship_applications,internship_applications_pkey,CREATE UNIQUE INDEX internship_applications_pkey ON public.internship_applications USING btree (id)
public,investment_withdrawal_requests,investment_withdrawal_requests_pkey,CREATE UNIQUE INDEX investment_withdrawal_requests_pkey ON public.investment_withdrawal_requests USING btree (id)
public,investor_portfolios,investor_portfolios_activation_token_key,CREATE UNIQUE INDEX investor_portfolios_activation_token_key ON public.investor_portfolios USING btree (activation_token)
public,investor_portfolios,investor_portfolios_pkey,CREATE UNIQUE INDEX investor_portfolios_pkey ON public.investor_portfolios USING btree (id)
public,investor_portfolios,investor_portfolios_portfolio_code_key,CREATE UNIQUE INDEX investor_portfolios_portfolio_code_key ON public.investor_portfolios USING btree (portfolio_code)
public,landlord_ambassador_referrals,landlord_ambassador_referrals_pkey,CREATE UNIQUE INDEX landlord_ambassador_referrals_pkey ON public.landlord_ambassador_referrals USING btree (id)
public,landlord_ambassador_referrals,landlord_ambassador_referrals_referrer_landlord_id_referred_key,"CREATE UNIQUE INDEX landlord_ambassador_referrals_referrer_landlord_id_referred_key ON public.landlord_ambassador_referrals USING btree (referrer_landlord_id, referred_landlord_id)"
