id,parent_agent_id,sub_agent_id,created_at,source,status,verified_by,verified_at,rejection_reason
dceb45c5-f4b6-4353-923d-c7ffe9c06151,c879db7c-cfe9-4af7-8511-11e45314297c,70e65ae7-98ed-457c-992e-a31cfa34aec4,2026-01-28 10:56:01.670923+00,invite,verified,,,
53ffca7d-f3de-4f8e-a425-c91740f9fc3b,c879db7c-cfe9-4af7-8511-11e45314297c,a7e4b4ab-a510-4390-941a-97fb181091b7,2026-01-28 10:58:02.427071+00,invite,verified,,,
7f31cded-b840-4ba7-98b4-366b02f0ee28,675d70c6-2f67-492a-ac29-0b11d57b52ca,3b624b63-9659-4de4-a24b-559d4fb26f0d,2026-01-28 21:41:51.25698+00,invite,verified,,,
67b48672-1639-4e92-b556-cf361f129e86,99890a2e-b842-4d44-8516-e2eafe0711ff,a265d5b4-34eb-4dd5-851c-e7d053dac154,2026-01-29 07:28:51.881871+00,invite,verified,,,
ae16c9db-f7d5-4201-8c99-42a0fc876d06,99890a2e-b842-4d44-8516-e2eafe0711ff,27752513-df51-4712-b5ec-794d6fad7fd3,2026-01-29 08:00:16.846+00,invite,verified,,,
6deb103a-0076-4dac-b9fc-58cc5f7be13c,675d70c6-2f67-492a-ac29-0b11d57b52ca,95a3a271-673e-411b-ac53-0ea8853ecfe3,2026-01-29 09:13:55.977748+00,invite,verified,,,
08f007aa-3d8c-48a7-8169-2a289969e913,3b624b63-9659-4de4-a24b-559d4fb26f0d,194eb6b3-b71b-427f-bd2f-0b02aae2936f,2026-01-29 10:34:37.803323+00,invite,verified,,,
27a7e8a6-fda3-49c8-8a2e-79ec21d14660,3b624b63-9659-4de4-a24b-559d4fb26f0d,b94c7396-e621-4979-996a-b5d0521048c4,2026-01-29 10:50:07.235804+00,invite,verified,,,
d1d9b8a7-97be-4fa8-bf34-e51293598cdc,675d70c6-2f67-492a-ac29-0b11d57b52ca,46bbdc4d-7c6c-41e7-b88a-ec743a14e137,2026-01-29 11:04:07.686046+00,invite,verified,,,
6cb5f8be-f72e-4826-9d5e-d89bcec38a51,675d70c6-2f67-492a-ac29-0b11d57b52ca,f3b88fef-e83a-4f1e-95b2-8b15527d75f2,2026-01-29 11:33:02.524311+00,invite,verified,,,
bc89c739-3f6b-4227-93e5-1188fde6ffc8,675d70c6-2f67-492a-ac29-0b11d57b52ca,1842f312-2280-4192-9a32-075add266512,2026-01-29 12:14:43.012691+00,invite,verified,,,
