id,user_id,agent_id,amount,deposit_type,created_at
c4d1cee4-9054-458e-9a19-5278f436010e,533e1d60-bbbe-4aaf-8534-419e1e1e73aa,e3cf4d3a-d021-49e4-b815-7e1938166eeb,4000,cash_deposit,2026-04-03 14:37:45.191057+00
279b0f99-fe80-4561-b0ea-1da209cfc12b,972f4990-1c4e-4c96-a220-9c9463f58dbf,99890a2e-b842-4d44-8516-e2eafe0711ff,500,cash_deposit,2026-04-03 20:47:37.187748+00
0de9b4b3-6e58-42fb-8ee1-e2f4aff875a7,c64f6ad4-18b3-4cbf-a77e-e079310623c9,e3cf4d3a-d021-49e4-b815-7e1938166eeb,50000,cash_deposit,2026-04-04 10:41:38.199909+00
3236d0e2-2dc0-4a25-b765-6df391a2f409,36d512c6-4864-4e03-94cb-dc1c1263de10,e4f07815-7991-422f-946f-7f351b38e954,7000,cash_deposit,2026-04-06 05:05:28.34265+00
35453f52-58b4-4b13-9b9c-0fc9b216063b,1de81952-c170-423d-bbcc-08a7b11f9f67,e3cf4d3a-d021-49e4-b815-7e1938166eeb,30000,cash_deposit,2026-04-07 13:49:39.981071+00
9c130e8b-c778-4913-881f-da6d57847fe7,629a54c6-7146-4c6e-b593-58f5b49ac2df,e3cf4d3a-d021-49e4-b815-7e1938166eeb,50000,cash_deposit,2026-04-07 14:14:29.533382+00
d888ebc3-7e6b-4399-8670-42c102fc3e50,0df8a220-624e-4008-92fb-e31774f8b908,e3cf4d3a-d021-49e4-b815-7e1938166eeb,10000,cash_deposit,2026-04-07 14:26:24.940074+00
23683f3a-353a-4954-bb6a-2d9d3c392fcf,9b9ff2eb-59ab-403e-8994-5111100741a5,e3cf4d3a-d021-49e4-b815-7e1938166eeb,21000,cash_deposit,2026-04-09 11:26:13.900745+00
f12f5eed-3e93-461b-bf7a-b55d55107be2,1ad64cdc-54a9-4c62-b903-7fab6c99f861,e3cf4d3a-d021-49e4-b815-7e1938166eeb,21200,cash_deposit,2026-04-09 11:30:33.819201+00
cd874272-7e80-4c63-a4a2-7699df497fe4,3881a75b-ea5a-417f-b421-fa84e1cc3fca,e3cf4d3a-d021-49e4-b815-7e1938166eeb,19200,cash_deposit,2026-04-09 11:33:42.265255+00
ececc96c-757c-40ba-9ccc-32fe7b56ee29,7e2346be-f15f-4c81-839f-f4004576de03,e3cf4d3a-d021-49e4-b815-7e1938166eeb,19500,cash_deposit,2026-04-09 11:35:54.812384+00
a85bf891-3f3d-45c4-a5d5-4a23b2ec28e8,b1f7de11-01fa-4cde-975e-43a09086bfb2,e3cf4d3a-d021-49e4-b815-7e1938166eeb,40000,cash_deposit,2026-04-09 11:39:06.767743+00
