column_default;column_name;data_type;is_nullable;table_name
;rejection_reason;text;YES;float_requests
now();created_at;timestamp with time zone;NO;float_requests
now();updated_at;timestamp with time zone;NO;float_requests
gen_random_uuid();id;uuid;NO;funder_visits
;agent_id;uuid;YES;funder_visits
;funder_id;uuid;YES;funder_visits
;latitude;double precision;NO;funder_visits
;longitude;double precision;NO;funder_visits
;accuracy;double precision;YES;funder_visits
;location_name;text;YES;funder_visits
;notes;text;YES;funder_visits
'routine'::text;visit_type;text;NO;funder_visits
now();created_at;timestamp with time zone;NO;funder_visits
gen_random_uuid();id;uuid;NO;general_ledger
now();created_at;timestamp with time zone;NO;general_ledger
now();transaction_date;timestamp with time zone;NO;general_ledger
;amount;numeric;NO;general_ledger
;direction;text;NO;general_ledger
;category;text;NO;general_ledger
;description;text;YES;general_ledger
;reference_id;text;YES;general_ledger
;user_id;uuid;YES;general_ledger
;linked_party;text;YES;general_ledger
;source_table;text;NO;general_ledger
;source_id;uuid;YES;general_ledger
0;running_balance;numeric;YES;general_ledger
;account;text;YES;general_ledger
