id,agent_id,beneficiary_id,beneficiary_role,assigned_by,reason,is_active,expires_at,created_at,updated_at,is_managed_account,approval_status,approved_by,approved_at,rejection_reason
304a6eeb-b690-495b-8c57-089168bdb79f,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,2dad0d5d-4fad-44dd-9f01-f5551d836e63,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:24:16.70574+00,2026-04-10 06:24:16.70574+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:31.786+00,
e5937004-628c-4bd8-aff6-0901481169b2,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,75cd0f60-5cce-4052-9d68-48641cf01918,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:25:12.076346+00,2026-04-10 06:25:12.076346+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:35.476+00,
0d9efcb6-f50f-438f-ad9a-3f9bd10eb6f4,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,6d000dbb-a3ea-4678-a970-0f3392c27028,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:25:52.898728+00,2026-04-10 06:25:52.898728+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:40.182+00,
80086e28-fb0f-4bea-883e-f8c7b0fbf78a,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,044884ee-9327-4fcc-91b0-32f8d88e5008,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:20:06.876191+00,2026-04-10 06:20:06.876191+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:43:47.647+00,
225fdb77-4037-49f8-8bc3-556843eb0ff1,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,d0d2e6c4-b4c9-411a-8359-79fc17b44038,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:26:48.096297+00,2026-04-10 06:26:48.096297+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:43.765+00,
d2f1ad91-6708-457f-a98f-94ab98989f3a,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,12c1b11f-5b32-457d-89ad-6be9aca44843,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:27:28.527422+00,2026-04-10 06:27:28.527422+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:47.139+00,
9de4c276-f723-4993-9fd7-6231dfa5e66f,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,ed1761e5-751e-43b9-b121-6c190b3568eb,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:28:29.673376+00,2026-04-10 06:28:29.673376+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:49.73+00,
4a3ebae7-6fa1-48ca-ace3-95e06351e478,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,a9b2b917-9d21-4070-9d2c-b21fb3f57b69,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:28:53.652433+00,2026-04-10 06:28:53.652433+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:52.582+00,
3de81fcd-f8bd-4115-a5e6-3a394f4242e4,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,98e8c977-51a8-4e89-829c-c8066de6bff7,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:30:02.228712+00,2026-04-10 06:30:02.228712+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:55.435+00,
e4023fc7-4da8-463d-8dce-450e3689d563,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,2470c782-4248-40b2-a5b9-d7acc84b82b3,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:30:29.918909+00,2026-04-10 06:30:29.918909+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:44:57.995+00,
2ee22cfd-c178-4a77-801d-7233627d0882,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,44f7b888-aa2c-4a58-8c92-aa8bc36f5964,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:30:56.381541+00,2026-04-10 06:30:56.381541+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:45:00.965+00,
e9d675e3-5c4e-401a-a3b6-0bed4dc8fb9c,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,f5eff2f6-8be4-4d26-84c6-d983d271c810,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:31:30.011729+00,2026-04-10 06:31:30.011729+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:45:03.934+00,
7fd1a3ee-02b6-4f95-9ac0-12e3635034dc,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,107bdfc7-b8ee-4988-8fde-c6193677fcfe,supporter,0b109aad-212a-4fd0-ab03-3d7aee9cf397,No smartphone access,t,,2026-04-10 06:38:00.355911+00,2026-04-10 06:38:00.355911+00,t,approved,ae194750-4827-47e8-839e-5e772565138b,2026-04-10 06:45:06.426+00,
